nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0002853561
       2	0.0004026176
       4	0.0005672365
       8	0.0007973007
      16	0.0011137253
      32	0.0015444817
      64	0.0020881846
     128	0.0027941662
     256	0.0034301703
     512	0.0042879425
    1024	0.0032650069
    2048	0.0027523941
