nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0561762512
       2	0.0751645771
       4	0.0974256831
       8	0.1207741197
      16	0.1389057766
      32	0.1533378287
      64	0.1565932286
     128	0.1599533368
     256	0.1681531367
     512	0.1701679020
    1024	0.1673267919
    2048	0.1639662340
