nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0412012924
       2	0.0548480427
       4	0.0707982530
       8	0.0871215681
      16	0.0993846267
      32	0.1087844480
      64	0.1128175916
     128	0.1132832694
     256	0.1119437726
     512	0.1105989586
    1024	0.1098478084
    2048	0.1203723234
