nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0002861246
       2	0.0004014001
       4	0.0005607737
       8	0.0007769194
      16	0.0010569603
      32	0.0013985329
      64	0.0017456112
     128	0.0020504405
     256	0.0021563593
     512	0.0022773683
    1024	0.0022559521
    2048	0.0023078944
