nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0000124265
       2	0.0000172461
       4	0.0000237119
       8	0.0000319292
      16	0.0000413769
      32	0.0000502397
      64	0.0000560762
     128	0.0000590955
     256	0.0000612268
     512	0.0000599310
    1024	0.0000612762
    2048	0.0000641393
