nsteps:         50000
bin-width base: 2
min(binwidths): 1
max(binwidths): 1024
binwidth	error
       1	0.0003577069
       2	0.0005037815
       4	0.0007077047
       8	0.0009902108
      16	0.0013697970
      32	0.0018756788
      64	0.0024891462
     128	0.0033224774
     256	0.0041060766
     512	0.0053183633
    1024	0.0025423292
