nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0702226197
       2	0.0941527159
       4	0.1218438679
       8	0.1517787933
      16	0.1747377942
      32	0.1965056641
      64	0.2079412542
     128	0.2107748253
     256	0.2025140064
     512	0.2039003943
    1024	0.2132524325
    2048	0.2204069207
