nsteps:         50000
bin-width base: 2
min(binwidths): 1
max(binwidths): 1024
binwidth	error
       1	0.0003187407
       2	0.0004416378
       4	0.0006058020
       8	0.0008136517
      16	0.0010506520
      32	0.0012993343
      64	0.0015118962
     128	0.0017575205
     256	0.0018270124
     512	0.0018412243
    1024	0.0018593178
