nsteps:         99750
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0002363552
       2	0.0003219657
       4	0.0004313972
       8	0.0005576642
      16	0.0006878455
      32	0.0008167859
      64	0.0009442702
     128	0.0010512170
     256	0.0010726310
     512	0.0011595720
    1024	0.0011610331
    2048	0.0011413447
