nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0002475346
       2	0.0003498222
       4	0.0004940083
       8	0.0006973455
      16	0.0009812371
      32	0.0013792158
      64	0.0019032542
     128	0.0026342953
     256	0.0034131975
     512	0.0045580973
    1024	0.0052749295
    2048	0.0064644430
