nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0000053541
       2	0.0000074787
       4	0.0000103840
       8	0.0000142074
      16	0.0000189345
      32	0.0000240317
      64	0.0000282589
     128	0.0000310872
     256	0.0000324388
     512	0.0000332069
    1024	0.0000340822
    2048	0.0000322007
