nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0726821293
       2	0.0981269099
       4	0.1295576180
       8	0.1678534542
      16	0.2056728158
      32	0.2454411263
      64	0.2766054759
     128	0.3179482153
     256	0.3355686861
     512	0.3692238711
    1024	0.3308766508
    2048	0.3450801515
