nsteps:         50000
bin-width base: 2
min(binwidths): 1
max(binwidths): 1024
binwidth	error
       1	0.0003858183
       2	0.0004909556
       4	0.0006064807
       8	0.0007196458
      16	0.0008094831
      32	0.0008922864
      64	0.0008981375
     128	0.0009343419
     256	0.0009698914
     512	0.0009629993
    1024	0.0009784403
