nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0000055138
       2	0.0000077317
       4	0.0000107979
       8	0.0000149199
      16	0.0000202192
      32	0.0000264145
      64	0.0000324169
     128	0.0000364593
     256	0.0000387884
     512	0.0000389892
    1024	0.0000430006
    2048	0.0000394612
