nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0002385504
       2	0.0003368089
       4	0.0004750311
       8	0.0006688740
      16	0.0009368538
      32	0.0013051166
      64	0.0017803648
     128	0.0024088554
     256	0.0030877796
     512	0.0040091446
    1024	0.0037577612
    2048	0.0043214628
