nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0561429692
       2	0.0755084634
       4	0.0996069188
       8	0.1280522479
      16	0.1565806976
      32	0.1875034215
      64	0.2123110036
     128	0.2361974604
     256	0.2347710627
     512	0.2458050296
    1024	0.2481980478
    2048	0.2231126436
