nsteps:         50000
bin-width base: 2
min(binwidths): 1
max(binwidths): 1024
binwidth	error
       1	0.0000173633
       2	0.0000239071
       4	0.0000324861
       8	0.0000428065
      16	0.0000534656
      32	0.0000617498
      64	0.0000665903
     128	0.0000645638
     256	0.0000679214
     512	0.0000644018
    1024	0.0000680776
