nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0001437047
       2	0.0002017900
       4	0.0002815456
       8	0.0003913111
      16	0.0005302816
      32	0.0007200452
      64	0.0008374123
     128	0.0011144822
     256	0.0008506424
     512	0.0008753947
    1024	0.0004036730
    2048	0.0003967175
