nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0413135802
       2	0.0554427139
       4	0.0729078921
       8	0.0930759110
      16	0.1134407551
      32	0.1331277217
      64	0.1476937160
     128	0.1611643072
     256	0.1679416859
     512	0.1694278555
    1024	0.1699548648
    2048	0.1937516950
