nsteps:         100000
bin-width base: 2
min(binwidths): 1
max(binwidths): 2048
binwidth	error
       1	0.0002668171
       2	0.0003773150
       4	0.0005330734
       8	0.0007537731
      16	0.0010617946
      32	0.0015008318
      64	0.0020602044
     128	0.0029078724
     256	0.0036335063
     512	0.0050879540
    1024	0.0039428436
    2048	0.0053272171
