nsteps:         500000
bin-width base: 2
min(binwidths): 1
max(binwidths): 8192
binwidth	error
       1	0.0001105276
       2	0.0001562916
       4	0.0002209808
       8	0.0003124175
      16	0.0004414709
      32	0.0006236147
      64	0.0008786400
     128	0.0012375710
     256	0.0017324627
     512	0.0024205668
    1024	0.0033235713
    2048	0.0045651405
    4096	0.0059493545
    8192	0.0079098327
